dest,symbol,name,address,decimals,origin,sourceAddress,sourceDecimals,coingeckoId,logo,serumV3Usdc,serumV3Usdt
matic,AVAX,AVAX (Portal),0x7Bb11E7f8b10E9e571E5d8Eace04735fDFB2358a,18.0,avax,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18.0,avalanche,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/AVAX_wh.png,E8JQstcwjuqN5kdMyUJLNuaectymnhffkvfg1j286UCr,
matic,BNB,Binance Coin (Portal),0xecdcb5b88f8e3c15f95c720c51c71c9e2080525d,18.0,bsc,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18.0,binance-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BNB_wh.png,4UPUurKveNEJgBqJzqHPyi8DhedvpYsMXi7d43CjAg2f,FjbKNZME5yVSC1R3HJM99kB3yir3q3frS5MteMFD72sV
matic,BUSDbs,Binance USD (Portal from BSC),0xa8d394fe7380b8ce6145d5f85e6ac22d4e91acde,18.0,bsc,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,binance-usd,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BUSDbs_wh.png,,
matic,ETH,Ether (Portal),0x11CD37bb86F65419713f30673A480EA33c826872,18.0,eth,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.0,ether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/ETH_wh.png,8Gmi2HhZmwQPVdCwzS7CM66MGstMXPcTVHA7jF19cLZz,ch7kmPrtoQUSEPBggcNAvLGiMQkJagVwd3gDYfd8m7Q
matic,ORION,Orion Money (Portal),0x5E0294Af1732498C77F8dB015a2d52a76298542B,18.0,eth,0x727f064a78dc734d33eec18d5370aef32ffd46e4,18.0,orion-money,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/ORION_wh.png,,
matic,USDCet,USD Coin (Portal from Ethereum),0x4318cb63a2b8edf2de971e2f17f77097e499459d,6.0,eth,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCet_wh.png,,
matic,USDTet,Tether USD (Portal from Ethereum),0x9417669fBF23357D2774e9D421307bd5eA1006d2,6.0,eth,0xdac17f958d2ee523a2206206994597c13d831ec7,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTet_wh.png,,
matic,WBTC,Wrapped BTC (Portal),0x5D49c278340655B56609FdF8976eb0612aF3a0C3,8.0,eth,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8.0,wrapped-bitcoin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/WBTC_wh.png,,
matic,SOL,SOL (Portal),0xd93f7e271cb87c23aaa73edc008a79646d1f9912,9.0,sol,So11111111111111111111111111111111111111112,9.0,solana,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SOL_wh.png,,
matic,USDCso,USD Coin (Portal from Solana),0x576cf361711cd940cd9c397bb98c4c896cbd38de,6.0,sol,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCso_wh.png,,
matic,USDTso,Tether USD (Portal from Solana),0x3553f861dec0257bada9f8ed268bf0d74e45e89c,6.0,sol,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTso_wh.png,,
matic,BONK,BONK (Portal),0xe5B49820e5A1063F6F4DdF851327b5E8B2301048,5.0,sol,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5.0,bonk,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BONK_wh.png,,
matic,UST,UST (Portal),0xE6469Ba6D2fD6130788E0eA9C0a0515900563b59,6.0,terra,uusd,6.0,terra-usd,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/UST_wh.png,8WmckvEoVGZvtN8knjdzFGbWJ3Sr4BcWdyzSYuCrD4YK,
