NAME,SYMBOL,ADDRESS,DECIMALS,LOGOURI,VERIFIED
Star Atlas DAO,POLIS,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,8,https://assets.coingecko.com/coins/images/17789/large/POLIS.jpg?1629256006,true
Solanium,SLIM,xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,6,https://assets.coingecko.com/coins/images/15816/large/logo_cg.png?1659000206,true
Xverse,XVC,25Vu6457o2gdZRGVVt5K8NbAvaP3esYaQNHbNDitVtw1,9,https://assets.coingecko.com/coins/images/17709/large/1_y5qvEWJiA4dFjoQNcqth3g.png?1629081157,true
Kurobi,KURO,2Kc38rfQ49DFaKHQaWbijkE7fcymUMLY5guUiUsDmFfn,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/2Kc38rfQ49DFaKHQaWbijkE7fcymUMLY5guUiUsDmFfn/logo.png,true
Million,MM,2PoF4gqWg97yjJk276yUYaGVkkASE7tqAU7H5faEBkeC,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/2PoF4gqWg97yjJk276yUYaGVkkASE7tqAU7H5faEBkeC/logo.svg,true
DINOEGG,DINOEGG,2TxM6S3ZozrBHZGHEPh9CtM74a9SVXbr7NQ7UxkRvQij,6,https://assets.coingecko.com/coins/images/22291/large/xOcKL1Fw_400x400.png?1641367958,true
Bitspawn,SPWN,5U9QqCPhqXAJcEv9uyzFJd5zhN93vuPk1aNNkXnUfPnt,9,https://assets.coingecko.com/coins/images/16513/large/token_logo.png?1631603192,true
Socean staked SOL,scnSOL,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm/logo.png,true
Waggle Network,WAG,5tN42n9vMi6ubp67Uy4NnmM5DMZYN8aS8GeB3bEDHr6E,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/5tN42n9vMi6ubp67Uy4NnmM5DMZYN8aS8GeB3bEDHr6E/logo.png,true
HAPI,HAPI,6VNKqgz9hk7zRShTFdg5AnkfKwZUcojzwAkzxSH3bnUm,9,https://assets.coingecko.com/coins/images/14298/large/R9i2HjAL_400x400.jpg?1615332438,true
Wrapped BUSD (Allbridge from BSC),ABBUSD,6nuaX3ogrr2CaoAPjtaKHAoBNWok32BMcRozuf32s2QF,9,https://assets.coingecko.com/coins/images/23061/large/logo_-_2022-01-26T091043.556.png?1643159457,true
Orbs,Orbs,7JnHPPJBBKSTJ7iEmsiGSBcPJgbcKw28uCRXtQgimncp,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7JnHPPJBBKSTJ7iEmsiGSBcPJgbcKw28uCRXtQgimncp/logo.png,true
Weble Ecosystem Token,WET,7R7rZ7SsLDXkYAfJyRCBScLuZwizeMWaTWrwFhSZU2Jq,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7R7rZ7SsLDXkYAfJyRCBScLuZwizeMWaTWrwFhSZU2Jq/logo.png,true
Lido Staked SOL,stSOL,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj/logo.png,true
SolRazr,SOLR,7j7H7sgsnNDeCngAPjpaCN4aaaru4HS7NAFYSEUyzJ3k,6,https://assets.coingecko.com/coins/images/18390/large/Sol-Razr-Logo-TICKER.png?1631759669,true
SunnySideUp staked SOL (sSOL),sSOL,8EDaoeBqpcVACwvkYXh1vAcU29HiBiNhqoF4pRsuUsZS,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/8EDaoeBqpcVACwvkYXh1vAcU29HiBiNhqoF4pRsuUsZS/logo.png,true
Solminter,SMRT,95KN8q3qubEVjPf9trgyur2nHx8T5RCmztRbLuQ5E5i,0,https://assets.coingecko.com/coins/images/17937/large/apple-touch-icon.png?1629868107,true
pSOL (Parrot SOL),pSOL,9EaLkQrbjmbbuZG9Wdpo8qfNUEjHATJFSycEmw6f1rGX,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/9EaLkQrbjmbbuZG9Wdpo8qfNUEjHATJFSycEmw6f1rGX/logo.svg,true
Wrapped DAI (Allbridge from Ethereum),aeDAI,9w6LpS7RU1DKftiwH3NgShtXbkMM1ke9iNU4g3MBXSUs,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FYpdBuyAHSbdaAyD1sKkxyLWbAP8uUW9h6uvdhK74ij1/logo.png,true
SunnySideUp,SSU,AGkFkKgXUEP7ZXazza5a25bSKbz5dDpgafPhqywuQnpf,9,https://assets.coingecko.com/coins/images/23369/large/logo.png?1643954242,true
MatrixETF DAO Finance,MDF,ALQ9KMWjFmxVbew3vMkJj3ypbAKuorSgGst6svCHEe2z,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ALQ9KMWjFmxVbew3vMkJj3ypbAKuorSgGst6svCHEe2z/logo.png,true
